Chapter,Chapter Title,Content Title,Type,Source,URL,Key Connection,Date
Ch 1,Welcome to the AI Factory,Kevin Shepherdson: Capability-as-a-Service,Video,YouTube / DPEX,https://www.youtube.com/watch?v=cW3cyJv4Ol8,Introduces the AI Factory model and the shift from AI literacy to AI capability,Oct 2025
Ch 1,Welcome to the AI Factory,The AI Factory: Turning AI Fluency into Capability,Article,DPEX Network,https://www.dpexnetwork.org/articles/the-ai-factory-turning-ai-fluency-into-capability,Explains the 20% of professionals building vs 80% consuming — core Factory metaphor,Nov 2025
Ch 1,Welcome to the AI Factory,What I Witnessed at the AI Factory Book Launch,Article,DPEX Network,https://www.dpexnetwork.org/articles/what-i-witnessed-at-the-ai-factory-book-launch-a-turning-point-for-singapores-smes--non-tech-professionals,Kevin's account of the book's significance for SMEs,Nov 2025
Ch 1,Welcome to the AI Factory,From AI Literacy to AI Capability Building,LinkedIn Post,Kevin Shepherdson,https://www.linkedin.com/posts/kevinshepherdson_from-ai-literacy-to-ai-capability-building-activity-7394144811760537600-hcQP,Connects AI literacy → AI capability journey directly to Book,Nov 2025
Ch 1,Welcome to the AI Factory,AI Factory Launch Powers SME Generative AI Transformation,Press / News,New in Asia,https://newinasia.com/2025/11/17/singapore-smes-generative-ai-guidebook/,Media coverage of AI Factory's relevance to SMEs,Nov 2025
Ch 2,The Outputs,The AI Factory - AI Capability Guide for SMEs (launch post),LinkedIn Post,Straits Interactive,https://www.linkedin.com/posts/straits-interactive_the-ai-factory-ai-capability-guide-for-activity-7421763973257052160-2XVH,Highlights the digital intelligence output concept,Mar 2026
Ch 2,The Outputs,Generative AI in 2025: The 6Cs Scorecard,LinkedIn Article,Straits Interactive,https://www.linkedin.com/pulse/2025-ai-scorecard-look-back-generative-trends-we-predicted-pomac,Reviews types of GenAI outputs produced across industries,Dec 2025
Ch 3,The Workers,The Rundown: State of AI with Andeed Ma,Video,YouTube / DPEX,https://www.youtube.com/watch?v=bK_g2zxVvD4,Discussion on the state of GenAI models,Mar 2025
Ch 4,The Blueprints,2025: A Year of Building AI Capability,Article,DPEX Network,https://www.dpexnetwork.org/articles/2025-a-year-of-building-ai-capability,Reviews the GenAI Maturity Blueprint in practice,Dec 2025
Ch 4,The Blueprints,SMU Academy launches AI roadmap for Singapore SMEs,LinkedIn Post,Singapore Management University,https://www.linkedin.com/posts/singapore-management-university_asme-smu-academy-and-straits-interactive-activity-7394947241041403906-CdAu,SME AI Blueprint in action through SMU partnership,Nov 2025
